price,volume,type
261000.0,0.11167546,sell
261099.9999,3.88e-06,sell
261199.9999,3.88e-06,sell
261299.9999,3.88e-06,sell
261399.9999,3.88e-06,sell
261499.9999,3.88e-06,sell
261589.9999,0.0001,sell
261599.9999,3.88e-06,sell
261699.9999,3.88e-06,sell
261799.9999,3.88e-06,sell
261899.9999,3.88e-06,sell
261999.9999,3.88e-06,sell
262000.0,7.72e-06,sell
262099.9999,3.86e-06,sell
262199.9999,3.86e-06,sell
262299.9999,3.86e-06,sell
262399.9999,3.86e-06,sell
262499.9999,3.86e-06,sell
262599.9999,3.86e-06,sell
262699.9999,3.86e-06,sell
262750.84,0.00255,sell
262799.9999,3.86e-06,sell
262877.0,0.003,sell
262899.9999,3.86e-06,sell
262999.9999,3.86e-06,sell
263000.0,5e-06,sell
263099.9999,3.86e-06,sell
263199.9999,3.86e-06,sell
263299.9999,3.86e-06,sell
263399.9999,3.86e-06,sell
263499.9999,3.84e-06,sell
263599.9999,3.84e-06,sell
263600.0,0.00015281,sell
263699.9999,3.84e-06,sell
263799.9999,3.84e-06,sell
263899.9999,3.84e-06,sell
263900.0,0.32,sell
263999.9999,3.84e-06,sell
264000.0,5e-06,sell
264099.9999,3.84e-06,sell
264199.9999,3.84e-06,sell
264299.9999,3.84e-06,sell
264399.9999,3.84e-06,sell
264499.9999,3.84e-06,sell
264599.9999,3.84e-06,sell
264699.9999,3.84e-06,sell
264799.9999,3.84e-06,sell
264899.9999,3.82e-06,sell
264960.0,0.0029,sell
264998.0,0.003,sell
264999.9999,3.82e-06,sell
265000.0,0.05540234,sell
265000.88,5.65e-06,sell
265099.9999,3.82e-06,sell
265149.1487,0.00047593,sell
265199.9999,3.82e-06,sell
265299.9999,3.82e-06,sell
265399.9999,3.82e-06,sell
265499.9999,3.82e-06,sell
265572.66,0.008226,sell
265599.9999,3.82e-06,sell
265680.0,0.01,sell
265699.9999,3.82e-06,sell
265799.9999,3.82e-06,sell
265851.45,0.00196018,sell
265899.9999,3.82e-06,sell
265999.99,0.00030012,sell
265999.9999,3.82e-06,sell
266000.0,0.05216319,sell
266022.0,4.015e-05,sell
266099.9999,3.82e-06,sell
266156.0,0.00038535,sell
266199.9999,3.82e-06,sell
266299.9999,3.8e-06,sell
266333.0,0.49172285,sell
266340.0,0.0039,sell
266399.9999,3.8e-06,sell
266421.99,4.603e-05,sell
